# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 24.45   -2.367E-06   -7.866E-08   -1.057E-06   -2.846E-08    4.030E-07 
 24.53   -2.326E-06   -7.184E-08   -1.040E-06   -2.535E-08    4.066E-07 
 24.60   -2.285E-06   -6.830E-08   -1.023E-06   -1.786E-08    4.068E-07 
 24.68   -2.243E-06   -6.807E-08   -1.008E-06   -6.403E-09    4.035E-07 
 24.76   -2.200E-06   -7.099E-08   -9.929E-07    8.493E-09    3.971E-07 
 24.83   -2.157E-06   -7.668E-08   -9.783E-07    2.618E-08    3.877E-07 
 24.91   -2.114E-06   -8.468E-08   -9.640E-07    4.595E-08    3.761E-07 
 24.98   -2.071E-06   -9.440E-08   -9.504E-07    6.704E-08    3.626E-07 
 25.06   -2.029E-06   -1.052E-07   -9.364E-07    8.870E-08    3.479E-07 
 25.13   -1.987E-06   -1.165E-07   -9.224E-07    1.102E-07    3.326E-07 
 25.21   -1.946E-06   -1.277E-07   -9.088E-07    1.309E-07    3.174E-07 
 25.28   -1.906E-06   -1.381E-07   -8.945E-07    1.501E-07    3.029E-07 
 25.36   -1.867E-06   -1.473E-07   -8.802E-07    1.674E-07    2.894E-07 
 25.44   -1.830E-06   -1.548E-07   -8.659E-07    1.824E-07    2.775E-07 
 25.51   -1.794E-06   -1.603E-07   -8.513E-07    1.948E-07    2.674E-07 
 25.59   -1.760E-06   -1.637E-07   -8.363E-07    2.044E-07    2.595E-07 
 25.66   -1.728E-06   -1.649E-07   -8.211E-07    2.113E-07    2.536E-07 
 25.74   -1.698E-06   -1.640E-07   -8.055E-07    2.157E-07    2.499E-07 
 25.81   -1.668E-06   -1.611E-07   -7.898E-07    2.178E-07    2.481E-07 
 25.89   -1.641E-06   -1.565E-07   -7.739E-07    2.179E-07    2.480E-07 
 25.96   -1.614E-06   -1.505E-07   -7.580E-07    2.164E-07    2.495E-07 
 26.04   -1.589E-06   -1.434E-07   -7.421E-07    2.137E-07    2.521E-07 
 26.12   -1.564E-06   -1.356E-07   -7.262E-07    2.101E-07    2.557E-07 
 26.19   -1.540E-06   -1.274E-07   -7.102E-07    2.061E-07    2.598E-07 
 26.27   -1.517E-06   -1.190E-07   -6.943E-07    2.020E-07    2.643E-07 
 26.34   -1.493E-06   -1.109E-07   -6.784E-07    1.980E-07    2.688E-07 
